ID,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass0,mass1,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12
2017 WCEM02-01,VA,Maria,MS,Wild Caught,2017,NA,5,1,3.36,41.8,64,66.04,77.85,,,,,,,,
2017 WCEM03-01,VA,Maria,VA,Wild Caught,2017,31-Dec-21,4,1,4.92,41,45.4,43.58,,,,,,,,,
2017 WCEM03-04,VA,Maria,VA,Wild Caught,2017,23-Apr-21,4,1,4.91,33.7,44.1,26.56,,,,,,,,,
2017 WCEM04-04,VA,Mountain,VA,Wild Caught,2017,31-Dec-21,4,1,4.6,25.7,57.5,58.72,,,,,,,,,
2017 WCEM04-05,VA,Mountain,VA,Wild Caught,2017,31-Dec-21,4,1,3.83,11.4,37.6,42.39,,,,,,,,,
2018 CBEM01-01,VA,Maria,VA,Captive Bred,2018,NA,4,1,21.54,70.8,50.91,53.45,,,,,,,,,
2018 CBEM03-01,VA,Elk x McLennan,VA,Captive Bred,2018,NA,4,1,7.38,59.3,54.88,64.56,,,,,,,,,
2018 CBEM04-02,VA,,VA,Captive Bred,2018,NA,4,1,10.69,79.2,61.9,62.3,,,,,,,,,
2018 CBEM04-03,VA,,VA,Captive Bred,2018,NA,4,1,11.91,58.8,42.6,47.72,,,,,,,,,
2019 CBEM08-03,VA,Maria x Aldergrove,VA,Captive Bred,2019,NA,3,1,4.9,12.58,24.74,,,,,,,,,,
2019 CBEM08-04,VA,Maria x Aldergrove,VA,Captive Bred,2019,NA,3,1,6.7,20.52,46.04,,,,,,,,,,
2019 CBEM21-05,VA,Maria x Mountain,VA,Captive Bred,2019,NA,3,1,6.1,18.28,39.49,,,,,,,,,,
2019 CBEM21-09,VA,Maria x Mountain,VA,Captive Bred,2019,NA,3,1,6.2,16.76,38.66,,,,,,,,,,
2019 WCEM01-01,VA,Morris,MV,Wild Caught,2019,NA,3,1,1.6,9.04,18.01,,,,,,,,,,
2019 WCEM01-02,VA,Morris,MV,Wild Caught,2019,NA,3,1,2.1,6.71,20.84,,,,,,,,,,
2019 WCEM02-04,VA,Elk,EK,Wild Caught,2019,NA,3,1,3.6,12.31,32.68,,,,,,,,,,
2019 WCEM02-05,VA,Elk,EK,Wild Caught,2019,NA,3,1,4,13.32,32.79,,,,,,,,,,
2019 WCEM03-01,VA,Semmihault,ST,Wild Caught,2019,NA,3,1,5.2,16.51,36.84,,,,,,,,,,
2011 MOUNTAIN SLOUGH #3 -2,VA,Mountain,MT,Wild Caught,2011,unknown,,,,5.8,16.6,32.39,,58.58,66.85,,,,,,
2011 MOUNTAIN SLOUGH #3 -4,VA,Mountain,MT,Wild Caught,2011,unknown,,,,7.8,22.8,25.39,,59.41,69.48,,,,,,
43939 ,TZ,Aldergrove,AD,Wild Caught,2004,19-Jul-11,7,1,,,,,,,81.1,,,,,,
43940 ,TZ,Aldergrove,AD,Wild Caught,2004,07-Aug-14,10,1,,,,,,,74.9,87.6,98.2,71.4,,,
43941 ,TZ,Aldergrove,AD,Wild Caught,2004,22-Dec-10,6,0,,,,,,,89.9,,,,,,
43942 ,TZ,Aldergrove,AD,Wild Caught,2004,14-Nov-10,6,1,,,,,,,87.6,,,,,,
43952 ,TZ,Maria,MS,Wild Caught,2009,23-May-13,4,1,,47.6,28.3,43.8,,,,,,,,,
45491 ,TZ,Maria,MCB,Captive Bred,2009,07-May-14,5,0,,,,50.7,65.2,,,,,,,,
45492 ,TZ,Maria,MCB,Captive Bred,2009,21-Apr-16,7,1,,,,56.4,49.3,54.4,43.4,,,,,,
45493 ,TZ,Maria,MCB,Captive Bred,2009,10-Jul-13,4,1,,,,64.3,,,,,,,,,
45495 ,TZ,Maria,MCB,Captive Bred,2009,07-Jun-15,6,1,,,,68.00,60.3,61.9,,,,,,,
45496 ,TZ,Maria,MCB,Captive Bred,2009,29-Aug-17,8,1,,,,55.10,60.6,55.3,47.1,36.5,,,,,
45498 ,TZ,Maria,MCB,Captive Bred,2009,25-May-13,4,0,,,,60.40,,,,,,,,,
45499 ,TZ,Maria,MCB,Captive Bred,2009,30-Oct-16,7,0,,,,23.00,62.3,56.7,70.6,49.9,,,,,
45500 ,TZ,Maria,MCB,Captive Bred,2009,NA,13,1,,,,,68,58.1,62.6,61.8,59,64.2,,69.3,
45502 ,TZ,Maria,MCB,Captive Bred,2009,12-Jul-22,13,1,,,,,60.1,52.4,68.2,60.7,71,53.9,,54.4,
45507 ,TZ,Mountain,MCB,Captive Bred,2009,04-Jan-20,11,1,,,,,60.6,67,81.3,72.5,63,83.5,120,,
45510 ,TZ,Mountain,MCB,Captive Bred,2009,23-May-17,8,1,,,,,63.9,48.1,55.9,49.5,,,,,
45511 ,TZ,Mountain,MCB,Captive Bred,2010,29-Jul-21,11,1,,,,38.30,36.1,66.6,57.2,81,67.7,,73.2,,
45513 ,TZ,Mountain,MCB,Captive Bred,2009,13-Mar-21,12,1,,,,,49.1,46.2,58.9,37,58,49.4,,45.6,
50621 ,TZ,,,Wild Caught,2014,19-Apr-19,5,0,,,,,105,,,,,,,,
50622 ,TZ,,,Wild Caught,2014,09-Apr-19,5,1,,,,,74,,,,,,,,
50623 ,TZ,,,Wild Caught,2016,18-Apr-19,3,0,,,59,,,,,,,,,,
50624 ,TZ,McLennan,ML,Wild Caught,2015,NA,7,1,,,,65.00,,62.5,,,,,,,
50625 ,TZ,,,Wild Caught,2017,21-Apr-19,2,0,,44,,,,,,,,,,,
50626 ,TZ,McLennan,ML,Wild Caught,2015,NA,7,1,,,,49,,41.2,,,,,,,
50628 ,TZ,Mountain,MT,Wild Caught,2017,NA,5,1,,25,,69,,,,,,,,,
50631 ,TZ,Mountain,MT,Wild Caught,2017,NA,5,1,,33,,74.5,,,,,,,,,
50637 ,TZ,,TZ,Captive Bred,2016,NA,4,1,,,40,,39,,,,,,,,
50638 ,TZ,,TZ,Captive Bred,2016,NA,4,1,,,35,,40.9,,,,,,,,
