frog_id,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12,mass13
2018 CBEM03-01,VA,Elk x McLennan,VA,Captive Born,2018,NA,4,1,,,60.63,,,,,,,,,
2018 CBEM04-02,VA,,VA,Captive Born,2018,NA,4,1,,,60.43,,,,,,,,,
2018 CBEM04-03,VA,,VA,Captive Born,2018,NA,4,1,,,44.76,,,,,,,,,
2019 CBEM08-02,VA,Maria x Aldergrove,VA,Captive Born,2019,05-Apr-22,3,0,52.3,50.57,,,,,,,,,,
2019 CBEM08-03,VA,Maria x Aldergrove,VA,Captive Born,2019,NA,3,1,24.74,21.11,,,,,,,,,,
2019 CBEM08-04,VA,Maria x Aldergrove,VA,Captive Born,2019,NA,3,1,46.04,44.75,,,,,,,,,,
2019 CBEM08-05,VA,Maria x Aldergrove,VA,Captive Born,2019,17-Apr-22,3,0,35.13,35.53,,,,,,,,,,
2019 CBEM08-07,VA,Maria x Aldergrove,VA,Captive Born,2019,16-Apr-22,3,0,28.61,26.08,,,,,,,,,,
2019 CBEM08-08,VA,Maria x Aldergrove,VA,Captive Born,2019,20-Apr-22,3,0,24.6,23.89,,,,,,,,,,
2019 CBEM08-09,VA,Maria x Aldergrove,VA,Captive Born,2019,27-Apr-22,3,0,29.51,27.86,,,,,,,,,,
2019 CBEM21-03,VA,Maria x Mountain,VA,Captive Born,2019,07-May-22,3,0,33.03,31.97,,,,,,,,,,
2019 CBEM21-05,VA,Maria x Mountain,VA,Captive Born,2019,NA,3,1,39.49,36.00,,,,,,,,,,
2019 CBEM21-09,VA,Maria x Mountain,VA,Captive Born,2019,NA,3,1,38.66,36.10,,,,,,,,,,
2019 WCEM01-01,VA,Morris,MV,Wild Caught,2019,NA,3,1,18.01,15.38,,,,,,,,,,
2019 WCEM01-02,VA,Morris,MV,Wild Caught,2019,NA,3,1,20.84,17.65,,,,,,,,,,
